Model, Rank_Median/Mean/STD, mean_RMSE/MAE_1234w, RMSE_1w/2w/3w/4w/5w/6w, MAE_1w/2w/3w/4w/5w/6w
QJHong-Encounter,  2.0 /  3.8 +-  3.4,   9.1% /  7.3%,  10.9% /  8.0% /  7.9% /  9.8% / 12.7% / 15.5%,   8.8% /  6.3% /  6.5% /  7.9% / 10.6% / 12.9%
Karlen-pypm,  6.5 /  8.8 +-  5.3,  10.1% /  8.0%,  10.7% /  9.5% /  9.3% / 10.8% / 13.9% /-100.0%,   8.6% /  7.9% /  7.4% /  8.2% / 10.9% /-100.0%
OliverWyman-Navigator, 11.0 / 11.0 +-  4.2,  10.2% /  7.9%,  11.9% /  9.2% /  9.4% / 10.5% /-100.0% /-100.0%,   9.6% /  7.4% /  7.0% /  7.7% /-100.0% /-100.0%
JCB-PRM,  6.5 /  9.1 +-  6.9,  10.7% /  9.0%,  11.6% / 10.2% /  9.6% / 11.3% / 15.9% / 20.4%,   9.4% /  8.2% /  8.4% /  9.8% / 13.8% / 18.7%
UMass-MechBayes, 11.0 / 12.7 +-  6.1,  10.8% /  8.8%,  12.3% /  9.5% / 10.2% / 11.3% /-100.0% /-100.0%,  10.0% /  7.8% /  8.1% /  9.4% /-100.0% /-100.0%
SteveMcConnell-CovidComplete, 19.5 / 18.6 +-  4.2,  11.1% /  9.1%,  15.4% / 11.4% /  8.6% /  9.0% /-100.0% /-100.0%,  11.6% /  9.4% /  7.5% /  7.7% /-100.0% /-100.0%
LNQ-ens1, 13.0 / 14.2 +-  7.7,  12.0% /  8.6%,  13.2% / 11.3% / 11.5% / 12.1% /-100.0% /-100.0%,   9.8% /  7.4% /  7.8% /  9.3% /-100.0% /-100.0%
USC-SI_kJalpha,  5.0 /  7.4 +-  6.5,  12.1% /  9.4%,  13.9% / 11.7% / 10.8% / 11.8% / 15.1% / 19.2%,  11.2% /  9.2% /  8.1% /  9.2% / 12.6% / 16.9%
Columbia_UNC-SurvCon,  5.0 /  6.0 +-  4.0,  12.2% / 10.3%,  12.3% / 12.1% / 11.8% / 12.6% / 14.6% / 16.5%,  10.2% / 10.2% / 10.2% / 10.7% / 11.9% / 14.8%
COVIDhub-ensemble, 13.0 / 14.5 +-  6.0,  15.2% / 12.3%,  16.3% / 15.0% / 14.4% / 15.0% /-100.0% /-100.0%,  12.7% / 11.9% / 12.1% / 12.3% /-100.0% /-100.0%
UCSD_NEU-DeepGLEAM, 20.5 / 21.7 +-  7.0,  15.7% / 13.6%,  15.3% / 14.9% / 16.0% / 16.6% /-100.0% /-100.0%,  13.3% / 12.9% / 13.7% / 14.5% /-100.0% /-100.0%
YYG-ParamSearch,  4.0 /  5.0 +-  4.3,  15.7% / 12.6%,  14.4% / 14.1% / 16.1% / 18.3% / 21.0% / 23.9%,  10.4% / 11.1% / 13.6% / 15.5% / 17.7% / 19.7%
MOBS-GLEAM_COVID, 19.5 / 16.9 +-  8.4,  16.4% / 13.2%,  13.5% / 14.0% / 17.3% / 21.0% /-100.0% /-100.0%,  11.5% / 11.4% / 13.7% / 16.4% /-100.0% /-100.0%
JHUAPL-Bucky,  9.0 / 13.9 +- 11.3,  17.0% / 14.3%,  24.3% / 15.5% / 13.5% / 14.6% / 20.2% / 27.6%,  20.2% / 12.6% / 11.2% / 13.1% / 18.7% / 26.6%
MSRA-DeepST, 25.0 / 23.8 +-  5.0,  17.1% / 15.0%,  17.1% / 13.9% / 16.5% / 21.0% /-100.0% /-100.0%,  14.5% / 12.1% / 14.7% / 18.7% /-100.0% /-100.0%
MIT_CritData-GBCF, 25.0 / 26.0 +-  7.3,  18.9% / 15.9%,  15.4% / 15.7% / 19.4% / 25.3% /-100.0% /-100.0%,  12.2% / 13.1% / 16.3% / 21.8% /-100.0% /-100.0%
CEID-Walk, 27.5 / 28.2 +-  7.0,  19.0% / 15.8%,  15.0% / 16.5% / 20.4% / 24.2% /-100.0% /-100.0%,  12.0% / 13.4% / 17.1% / 20.7% /-100.0% /-100.0%
UCLA-SuEIR,  9.5 / 11.0 +-  9.4,  19.6% / 15.4%,  15.4% / 16.7% / 21.0% / 25.3% / 29.7% / 33.1%,  11.4% / 12.9% / 16.7% / 20.6% / 24.8% / 28.1%
CovidAnalytics-DELPHI,  6.0 / 12.7 +- 12.7,  21.6% / 17.9%,  23.0% / 20.7% / 20.8% / 22.1% / 24.8% / 30.7%,  19.5% / 17.4% / 17.1% / 17.6% / 19.0% / 24.5%
Baseline,  8.5 / 10.3 +-  7.9,  21.7% / 17.8%,  17.4% / 18.4% / 23.1% / 27.9% / 32.1% / 35.2%,  13.0% / 15.1% / 19.6% / 23.7% / 26.8% / 29.2%
IHME-CurveFit, 15.5 / 18.6 +- 13.3,  22.3% / 19.0%,  33.0% / 19.9% / 18.0% / 18.1% / 20.3% / 22.5%,  27.7% / 16.7% / 15.7% / 15.9% / 17.3% / 18.9%
DDS-NBDS, 28.0 / 28.9 +- 10.0,  22.5% / 18.3%,  16.7% / 19.9% / 25.5% / 28.1% /-100.0% /-100.0%,  12.9% / 16.2% / 20.5% / 23.6% /-100.0% /-100.0%
GT-DeepCOVID, 13.0 / 14.6 +-  6.6,  22.9% / 13.4%,  34.9% / 20.0% / 17.4% / 19.5% /-100.0% /-100.0%,  15.3% / 11.2% / 12.2% / 14.9% /-100.0% /-100.0%
RPI_UW-Mob_Collision, 32.0 / 28.5 +- 10.1,  23.1% / 18.8%,  16.5% / 20.2% / 25.0% / 30.7% /-100.0% /-100.0%,  13.8% / 16.8% / 20.4% / 24.3% /-100.0% /-100.0%
COVIDhub-baseline, 18.0 / 17.4 +-  5.8,  23.8% / 19.8%,  19.5% / 20.8% / 25.4% / 29.6% / 35.9% / 39.7%,  14.9% / 17.8% / 21.5% / 25.1% / 34.0% / 38.2%
IowaStateLW-STEM, 10.5 / 13.0 +-  8.5,  24.5% / 19.9%,  27.3% / 22.6% / 22.8% / 25.4% / 29.4% / 33.0%,  22.0% / 19.2% / 18.6% / 19.7% / 23.7% / 27.2%
UMich-RidgeTfReg, 33.0 / 31.6 +-  7.2,  27.4% / 24.4%,  22.1% / 25.3% / 29.3% / 32.9% /-100.0% /-100.0%,  18.2% / 22.7% / 26.7% / 30.1% /-100.0% /-100.0%
UT-Mobility, 30.0 / 24.6 +- 12.9,  27.5% / 22.0%,  20.9% / 22.8% / 28.6% / 37.7% /-100.0% /-100.0%,  18.2% / 19.0% / 22.2% / 28.6% /-100.0% /-100.0%
LANL-GrowthRate, 19.0 / 19.5 +- 13.8,  28.1% / 24.5%,  26.3% / 25.9% / 28.2% / 31.8% / 36.2% / 40.2%,  22.5% / 22.8% / 24.9% / 27.7% / 31.7% / 36.0%
PSI-DRAFT, 20.0 / 19.0 +- 10.3,  30.3% / 24.5%,  29.7% / 25.3% / 30.0% / 36.0% / 44.7% / 54.2%,  22.7% / 21.2% / 25.1% / 28.9% / 34.6% / 39.4%
IBF-TimeSeries, 15.5 / 21.4 +- 14.5,  33.0% / 28.4%,  67.6% / 29.2% / 18.7% / 16.4% / 20.1% / 23.9%,  60.1% / 25.0% / 14.8% / 13.6% / 18.0% / 22.5%
NotreDame-mobility, 23.0 / 25.7 +- 11.4,  33.5% / 29.4%,  38.6% / 32.1% / 31.6% / 31.8% / 33.3% / 35.0%,  32.9% / 28.2% / 28.2% / 28.4% / 30.2% / 32.0%
UA-EpiCovDA, 20.0 / 20.8 +-  6.5,  34.0% / 20.9%,  39.8% / 34.1% / 32.7% / 29.3% /-100.0% /-100.0%,  22.2% / 18.8% / 20.6% / 22.0% /-100.0% /-100.0%
CU-select, 19.5 / 18.1 +-  8.7,  34.6% / 22.0%,  25.9% / 29.6% / 37.6% / 45.0% / 30.4% / 51.0%,  18.2% / 18.6% / 22.4% / 28.7% / 29.0% / 44.1%
JHU_IDD-CovidSP, 18.0 / 19.4 +-  7.9,  34.6% / 27.4%,  29.2% / 31.6% / 37.1% / 40.5% / 35.4% / 34.7%,  24.3% / 23.8% / 28.9% / 32.5% / 30.5% / 27.9%
UCM_MESALab-FoGSEIR, 34.0 / 32.0 +-  8.8,  35.3% / 30.7%,  44.0% / 37.1% / 30.5% / 29.8% / 30.4% /-100.0%,  37.4% / 32.2% / 27.3% / 25.7% / 26.0% /-100.0%
STH-3PU, 25.5 / 23.7 +- 14.5,  37.6% / 26.5%,  29.2% / 34.0% / 40.3% / 46.8% / 53.0% / 57.8%,  20.7% / 23.5% / 28.5% / 33.3% / 37.7% / 41.5%
Covid19Sim-Simulator, 17.0 / 17.4 +-  7.5,  41.4% / 32.9%,  70.5% / 39.6% / 29.7% / 25.8% / 25.1% / 25.9%,  56.5% / 31.6% / 23.3% / 20.2% / 20.4% / 21.2%
